feature,importance
volatility_norm,2818.684691685252
atr_14,2216.162704208691
vwap,1432.0744155178545
obv,1100.6215201616287
adx,1061.3756319557901
atr_21,1010.0944674328566
ema_200,782.0618261038253
atr_ratio,755.5164471698808
macd_signal,728.1733869550517
ema_100,659.2245915787862
bb_upper,623.7375239729881
ema_5,607.3893543050508
bb_width,601.7684790703061
dist_to_support,597.5750368833542
dist_to_resistance,583.4908829087217
ema_10,583.1895619034767
volume_trend,575.4787114486244
macd_histogram,566.3955312657927
trend_quality,539.819607257843
breakout_probability,477.2331491112709
consolidation,472.33524884411963
htf_volume_trend,464.26995899225585
ema_50,460.7615864296222
rsi_7,442.7011561709296
price_vs_ema_50,441.27986054867506
stoch_d,399.4400109365597
macd,362.5124885906116
swing_high_count,349.1551902294159
volume_ma_ratio,339.21948184192297
price_vs_ema_20,333.7957987818518
minus_di,300.94325864315033
plus_di,296.3355813226226
pct_change_1,290.93690025806427
bb_lower,290.8066507577896
rsi_21,272.6602508825017
pct_change_10,257.0497840642929
ema_20,247.90817402489483
swing_low_count,228.84735095500946
stoch_k,196.93990817666054
rsi_14,196.5707995891571
pct_change_5,193.35647326531762
volume_delta,168.7493589920923
bb_middle,164.34033685922623
cci_14,163.11955451965332
upper_wick_ratio,158.82258638739586
mtf_rsi_diff,152.9453082466025
body_ratio,129.13111387193203
lower_wick_ratio,127.82607093453407
structural_bias,118.41121864318848
near_key_level,115.46807980537415
trend_strength,113.76671028137207
williams_r,113.02254599455046
cci_20,108.76760294532869
price_position_ema,103.96022891998291
bb_position,102.08609020709991
consecutive_up,88.30249118804932
consecutive_down,79.5364990234375
momentum_10,73.79339933395386
htf_bb_position,70.06251955032349
lower_low,57.59404003620148
higher_high,36.28184998035431
mtf_momentum_agreement,34.64614684856497
htf_macd_direction,0.0
htf_adx,0.0
mtf_volatility_ratio,0.0
htf_ema_trend,0.0
mtf_trend_aligned,0.0
htf_volume_ma,0.0
htf_atr,0.0
htf_macd_signal,0.0
htf_bb_middle,0.0
htf_bb_lower,0.0
htf_bb_upper,0.0
htf_macd_hist,0.0
htf_macd,0.0
htf_rsi,0.0
htf_ema_50,0.0
htf_ema_20,0.0
ema_cross_5_20,0.0
ema_cross_10_50,0.0
mtf_score,0.0
